2,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
2,	2.346,	relativeTimeInSec
2,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
2,	leaf2,	Producer
2,	0/RP0/CPU0,	node_name
2,	24,	total_cpu_fifteen_minute
2,	24,	total_cpu_five_minute
2,	24,	total_cpu_one_minute
2,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
2,	2.349,	relativeTimeInSec
2,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
2,	dr01,	Producer
2,	0/RP0/CPU0,	node_name
2,	6,	total_cpu_fifteen_minute
2,	7,	total_cpu_five_minute
2,	8,	total_cpu_one_minute
2,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
2,	2.353,	relativeTimeInSec
2,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
2,	dr01,	Producer
2,	0/0/CPU0,	node_name
2,	3,	total_cpu_fifteen_minute
2,	3,	total_cpu_five_minute
2,	3,	total_cpu_one_minute
2,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
2,	2.358,	relativeTimeInSec
2,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
2,	dr01,	Producer
2,	0/1/CPU0,	node_name
2,	3,	total_cpu_fifteen_minute
2,	3,	total_cpu_five_minute
2,	3,	total_cpu_one_minute
3,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
3,	3.76,	relativeTimeInSec
3,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
3,	spine4,	Producer
3,	0/RP0/CPU0,	node_name
3,	24,	total_cpu_fifteen_minute
3,	24,	total_cpu_five_minute
3,	26,	total_cpu_one_minute
4,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
4,	4.396,	relativeTimeInSec
4,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
4,	leaf1,	Producer
4,	0/RP0/CPU0,	node_name
4,	26,	total_cpu_fifteen_minute
4,	26,	total_cpu_five_minute
4,	28,	total_cpu_one_minute
4,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
4,	4.572,	relativeTimeInSec
4,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
4,	leaf7,	Producer
4,	0/RP0/CPU0,	node_name
4,	23,	total_cpu_fifteen_minute
4,	24,	total_cpu_five_minute
4,	24,	total_cpu_one_minute
4,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
4,	4.751,	relativeTimeInSec
4,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
4,	spine2,	Producer
4,	0/RP0/CPU0,	node_name
4,	25,	total_cpu_fifteen_minute
4,	24,	total_cpu_five_minute
4,	26,	total_cpu_one_minute
4,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
4,	4.763,	relativeTimeInSec
4,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
4,	leaf5,	Producer
4,	0/RP0/CPU0,	node_name
4,	24,	total_cpu_fifteen_minute
4,	24,	total_cpu_five_minute
4,	25,	total_cpu_one_minute
5,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
5,	5.043,	relativeTimeInSec
5,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
5,	dr03,	Producer
5,	0/RP1/CPU0,	node_name
5,	1,	total_cpu_fifteen_minute
5,	1,	total_cpu_five_minute
5,	1,	total_cpu_one_minute
5,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
5,	5.045,	relativeTimeInSec
5,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
5,	dr03,	Producer
5,	0/RP0/CPU0,	node_name
5,	7,	total_cpu_fifteen_minute
5,	7,	total_cpu_five_minute
5,	8,	total_cpu_one_minute
5,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
5,	5.051,	relativeTimeInSec
5,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
5,	spine1,	Producer
5,	0/RP0/CPU0,	node_name
5,	25,	total_cpu_fifteen_minute
5,	25,	total_cpu_five_minute
5,	26,	total_cpu_one_minute
5,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
5,	5.051,	relativeTimeInSec
5,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
5,	dr03,	Producer
5,	0/0/CPU0,	node_name
5,	3,	total_cpu_fifteen_minute
5,	3,	total_cpu_five_minute
5,	3,	total_cpu_one_minute
5,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
5,	5.055,	relativeTimeInSec
5,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
5,	dr03,	Producer
5,	0/1/CPU0,	node_name
5,	3,	total_cpu_fifteen_minute
5,	3,	total_cpu_five_minute
5,	3,	total_cpu_one_minute
5,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
5,	5.231,	relativeTimeInSec
5,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
5,	leaf3,	Producer
5,	0/RP0/CPU0,	node_name
5,	24,	total_cpu_fifteen_minute
5,	24,	total_cpu_five_minute
5,	25,	total_cpu_one_minute
5,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
5,	5.257,	relativeTimeInSec
5,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
5,	leaf4,	Producer
5,	0/RP0/CPU0,	node_name
5,	24,	total_cpu_fifteen_minute
5,	24,	total_cpu_five_minute
5,	25,	total_cpu_one_minute
5,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
5,	5.261,	relativeTimeInSec
5,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
5,	leaf8,	Producer
5,	0/RP0/CPU0,	node_name
5,	24,	total_cpu_fifteen_minute
5,	24,	total_cpu_five_minute
5,	24,	total_cpu_one_minute
6,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
6,	6.222,	relativeTimeInSec
6,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
6,	spine3,	Producer
6,	0/RP0/CPU0,	node_name
6,	25,	total_cpu_fifteen_minute
6,	25,	total_cpu_five_minute
6,	27,	total_cpu_one_minute
6,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
6,	6.645,	relativeTimeInSec
6,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
6,	leaf6,	Producer
6,	0/RP0/CPU0,	node_name
6,	24,	total_cpu_fifteen_minute
6,	24,	total_cpu_five_minute
6,	26,	total_cpu_one_minute
6,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
6,	6.726,	relativeTimeInSec
6,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
6,	leaf2,	Producer
6,	0/RP0/CPU0,	node_name
6,	24,	total_cpu_fifteen_minute
6,	24,	total_cpu_five_minute
6,	24,	total_cpu_one_minute
7,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
7,	7.394,	relativeTimeInSec
7,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
7,	dr02,	Producer
7,	0/RP1/CPU0,	node_name
7,	1,	total_cpu_fifteen_minute
7,	1,	total_cpu_five_minute
7,	1,	total_cpu_one_minute
7,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
7,	7.395,	relativeTimeInSec
7,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
7,	dr02,	Producer
7,	0/RP0/CPU0,	node_name
7,	7,	total_cpu_fifteen_minute
7,	7,	total_cpu_five_minute
7,	9,	total_cpu_one_minute
7,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
7,	7.401,	relativeTimeInSec
7,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
7,	dr02,	Producer
7,	0/0/CPU0,	node_name
7,	3,	total_cpu_fifteen_minute
7,	3,	total_cpu_five_minute
7,	3,	total_cpu_one_minute
7,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
7,	7.405,	relativeTimeInSec
7,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
7,	dr02,	Producer
7,	0/1/CPU0,	node_name
7,	3,	total_cpu_fifteen_minute
7,	3,	total_cpu_five_minute
7,	3,	total_cpu_one_minute
8,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
8,	8.234,	relativeTimeInSec
8,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
8,	spine4,	Producer
8,	0/RP0/CPU0,	node_name
8,	24,	total_cpu_fifteen_minute
8,	24,	total_cpu_five_minute
8,	26,	total_cpu_one_minute
8,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
8,	8.373,	relativeTimeInSec
8,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
8,	dr01,	Producer
8,	0/RP0/CPU0,	node_name
8,	6,	total_cpu_fifteen_minute
8,	7,	total_cpu_five_minute
8,	8,	total_cpu_one_minute
8,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
8,	8.376,	relativeTimeInSec
8,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
8,	dr01,	Producer
8,	0/0/CPU0,	node_name
8,	3,	total_cpu_fifteen_minute
8,	3,	total_cpu_five_minute
8,	3,	total_cpu_one_minute
8,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
8,	8.382,	relativeTimeInSec
8,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
8,	dr01,	Producer
8,	0/1/CPU0,	node_name
8,	3,	total_cpu_fifteen_minute
8,	3,	total_cpu_five_minute
8,	3,	total_cpu_one_minute
8,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	name
8,	8.862,	relativeTimeInSec
8,	Cisco-IOS-XR-wdsysmon-fd-oper:system-monitoring/cpu-utilization,	EncodingPath
8,	leaf1,	Producer
